CustomerID,TerritoryID,TotalPurchaseYTD,DateFirstPurchase,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,CommuteDistance,Age,Bike
11018,9,6498.29,07/20/2001,S,25001-50000,M,2,0,Partial College,Clerical,1,2,5-10 Miles,63,1
11019,6,762.7,08/16/2003,S,25001-50000,M,0,0,High School,Skilled Manual,0,2,5-10 Miles,29,0
11020,6,2294.99,07/02/2003,S,25001-50000,M,0,0,High School,Skilled Manual,0,2,1-2 Miles,29,1
11021,1,2316.97,07/27/2003,S,25001-50000,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,29,1
11022,1,2319.99,07/24/2003,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,29,1
11023,4,119.95,08/21/2003,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,29,0
11024,4,54.22,12/29/2003,M,50001-75000,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,29,0
11025,9,3201.81,07/09/2001,M,0-25000,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,62,1
11026,9,6551.3,07/26/2001,S,25001-50000,M,2,0,Partial College,Clerical,0,2,1-2 Miles,61,1
11027,9,6589.28,07/19/2001,M,25001-50000,M,2,0,Partial College,Clerical,1,2,5-10 Miles,61,1
11028,9,3099.63,07/29/2001,M,25001-50000,F,2,0,Partial College,Clerical,1,2,1-2 Miles,61,1
11029,9,3165.3,07/22/2001,M,25001-50000,M,2,0,Partial College,Clerical,1,2,1-2 Miles,61,1
11030,9,4151.33,08/08/2001,M,0-25000,F,2,1,Partial High School,Clerical,1,2,1-2 Miles,60,1
11031,9,3078.61,08/04/2001,M,0-25000,F,4,0,High School,Skilled Manual,1,2,1-2 Miles,60,1
11032,9,6516.57,08/21/2001,M,0-25000,F,4,0,High School,Skilled Manual,1,2,1-2 Miles,60,1
11033,9,6490.3,08/18/2001,M,0-25000,M,4,0,High School,Skilled Manual,1,2,5-10 Miles,60,1
11034,9,3091.33,08/04/2001,M,0-25000,F,4,0,High School,Skilled Manual,1,2,5-10 Miles,60,1
11035,9,6442.32,08/09/2001,M,0-25000,F,2,1,Partial High School,Clerical,1,2,1-2 Miles,59,1
11036,4,2319.99,07/26/2003,M,50001-75000,F,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,29,1
11037,6,2371.94,07/24/2003,S,25001-50000,F,0,0,Partial High School,Clerical,0,2,5-10 Miles,30,1
11038,9,5694.98,08/10/2001,M,0-25000,F,2,1,Partial High School,Clerical,1,2,5-10 Miles,59,1
11039,9,6627.59,08/10/2001,M,25001-50000,M,3,0,Partial College,Clerical,1,2,5-10 Miles,59,1
11040,1,2341.97,10/05/2003,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,30,1
11041,4,2316.97,07/18/2003,M,50001-75000,F,0,0,Partial College,Skilled Manual,1,2,1-2 Miles,30,1
11042,4,3062.34,07/25/2003,M,50001-75000,F,0,0,Partial College,Skilled Manual,1,2,0-1 Miles,30,1
11043,4,12.98,11/09/2003,M,50001-75000,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,31,0
11044,9,3140.31,08/31/2001,M,0-25000,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,58,1
11045,9,79.97,10/12/2003,S,25001-50000,M,3,0,High School,Skilled Manual,0,2,1-2 Miles,57,0
11046,9,6496.81,08/09/2001,M,25001-50000,F,3,0,High School,Skilled Manual,1,2,5-10 Miles,57,1
11047,9,5839.98,08/06/2001,M,25001-50000,F,3,0,High School,Skilled Manual,0,2,1-2 Miles,57,1
11048,9,6490.29,08/13/2001,M,25001-50000,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,57,1
11049,4,46.27,09/10/2003,S,25001-50000,F,0,0,Partial High School,Clerical,1,2,5-10 Miles,27,0
11050,9,4943.8,08/23/2001,M,25001-50000,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,56,1
11051,9,88.96,07/01/2004,S,25001-50000,M,3,0,High School,Skilled Manual,0,2,1-2 Miles,56,0
11052,9,8129.03,08/20/2001,S,25001-50000,F,2,0,Partial College,Clerical,0,2,5-10 Miles,56,1
11053,4,2294.99,07/21/2003,M,50001-75000,F,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,27,1
11054,9,8188.03,08/06/2001,M,25001-50000,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,55,1
11055,9,8133.02,08/03/2001,M,25001-50000,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,55,1
11056,9,8183.01,08/29/2001,M,25001-50000,F,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,54,1
11057,9,4713.05,08/25/2001,M,50001-75000,M,2,0,Graduate Degree,Management,1,2,1-2 Miles,54,1
11058,9,4848.03,09/09/2001,M,75001-100000,M,2,0,Partial College,Skilled Manual,1,2,1-2 Miles,53,1
11059,9,106.94,08/22/2003,S,75001-100000,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,53,0
11060,9,4753.03,09/19/2001,M,75001-100000,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,53,1
11061,9,5744.95,09/13/2001,M,75001-100000,M,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,53,1
11062,1,2316.97,07/11/2003,M,25001-50000,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,32,1
11063,1,2363.96,07/16/2003,S,25001-50000,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,32,1
11064,4,2294.99,07/29/2003,M,25001-50000,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,32,1
11065,4,200.28,08/14/2003,M,50001-75000,F,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,34,0
11066,1,78.97,12/02/2003,M,50001-75000,F,0,0,Partial College,Professional,1,2,5-10 Miles,34,0
11067,1,103.46,02/19/2004,S,50001-75000,M,0,0,Partial College,Professional,1,2,5-10 Miles,31,0
11068,9,88.87,11/01/2003,S,75001-100000,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,52,0
11069,9,5719.98,10/18/2001,S,75001-100000,F,2,0,High School,Skilled Manual,0,2,1-2 Miles,52,1
11070,9,4765.56,10/29/2001,M,75001-100000,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,52,1
11071,9,105.24,09/02/2003,S,75001-100000,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,52,0
11072,9,8140.01,10/01/2001,S,75001-100000,F,2,0,High School,Skilled Manual,0,2,1-2 Miles,52,1
11073,9,182.91,09/24/2003,S,50001-75000,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,51,0
11074,9,85.2,09/24/2003,S,50001-75000,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,51,0
11075,9,5773.04,10/29/2001,S,75001-100000,F,2,0,High School,Professional,1,2,5-10 Miles,50,1
11076,9,8104.05,10/22/2001,S,75001-100000,M,2,0,High School,Professional,1,2,5-10 Miles,50,1
11077,9,8114.04,10/16/2001,S,75001-100000,F,2,0,High School,Professional,0,2,1-2 Miles,50,1
11078,6,891.29,08/19/2003,S,25001-50000,F,0,0,High School,Professional,0,2,1-2 Miles,33,0
11079,9,47.96,09/16/2003,S,greater than 100000,M,0,0,Graduate Degree,Management,1,2,0-1 Miles,48,0
11080,9,8154.03,10/11/2001,M,greater than 100000,M,0,0,Graduate Degree,Management,1,2,0-1 Miles,48,1
11081,4,95.27,08/16/2003,M,greater than 100000,F,2,2,Bachelors,Management,1,3,2-5 Miles,41,0
11082,4,3075.81,07/26/2003,S,greater than 100000,F,0,1,Graduate Degree,Management,0,3,1-2 Miles,41,1
11083,4,3102.33,07/10/2003,M,greater than 100000,F,0,1,Graduate Degree,Management,1,3,1-2 Miles,41,1
11084,1,3073.62,07/08/2003,S,75001-100000,M,2,0,Partial High School,Skilled Manual,0,2,1-2 Miles,50,1
11085,4,93.97,06/08/2004,S,50001-75000,F,2,0,High School,Professional,0,2,5-10 Miles,50,0
11086,4,103.46,01/03/2004,M,50001-75000,M,2,1,Partial College,Professional,1,0,0-1 Miles,50,0
11087,4,197.99,08/29/2003,M,50001-75000,F,3,2,Partial College,Professional,0,0,0-1 Miles,50,0
11088,4,3122.79,07/17/2003,M,75001-100000,M,2,1,Bachelors,Management,1,0,2-5 Miles,50,1
11089,4,3153.29,07/02/2003,S,75001-100000,F,2,1,Bachelors,Management,1,1,2-5 Miles,50,1
11090,4,6695.09,02/07/2002,S,75001-100000,M,2,0,Partial College,Professional,1,1,2-5 Miles,50,1
11091,6,1187.04,08/02/2003,M,75001-100000,M,2,0,Partial College,Professional,1,1,5-10 Miles,50,0
11092,9,8088.04,10/09/2001,M,75001-100000,F,2,2,Bachelors,Professional,1,0,1-2 Miles,40,1
11093,9,8171.01,10/08/2001,M,75001-100000,F,0,0,Graduate Degree,Management,1,0,0-1 Miles,40,1
11094,9,230.9,10/09/2003,S,50001-75000,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,45,0
11095,9,4783.02,10/02/2001,S,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,45,1
11096,9,5768.05,10/12/2001,M,50001-75000,M,1,0,Bachelors,Professional,1,1,5-10 Miles,45,1
11097,9,8064.04,10/05/2001,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,46,1
11098,9,34.97,08/15/2003,S,50001-75000,F,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,46,0
11099,9,8162,10/08/2001,M,50001-75000,M,1,0,Bachelors,Professional,1,1,0-1 Miles,46,1
11100,9,4797.52,10/17/2001,S,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,47,1
11101,9,4862.53,10/30/2001,S,50001-75000,F,0,0,Bachelors,Professional,0,1,0-1 Miles,42,1
11102,9,94.96,01/17/2004,S,75001-100000,F,5,5,Bachelors,Professional,1,4,1-2 Miles,42,0
11103,9,4807.51,10/16/2001,S,50001-75000,F,0,0,Bachelors,Professional,1,1,5-10 Miles,43,1
11104,9,8119.04,11/04/2001,M,50001-75000,M,0,0,Bachelors,Professional,0,1,0-1 Miles,43,1
11105,9,4696,11/14/2001,S,50001-75000,F,0,0,Bachelors,Professional,0,1,5-10 Miles,43,1
11106,9,4679.06,11/18/2001,S,50001-75000,M,0,0,Bachelors,Professional,0,1,5-10 Miles,43,1
11107,9,8136.02,11/01/2001,M,75001-100000,F,1,0,Bachelors,Professional,1,1,5-10 Miles,48,1
11108,9,8089.05,11/03/2001,S,50001-75000,F,0,0,Bachelors,Professional,0,2,0-1 Miles,44,1
11109,9,4870.02,11/10/2001,S,50001-75000,M,0,0,Bachelors,Professional,0,2,0-1 Miles,44,1
11110,9,4693.04,11/01/2001,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,45,1
11111,9,8128.01,11/20/2001,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,45,1
11112,9,8260.03,11/25/2001,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,45,1
11113,9,101.93,08/05/2003,M,50001-75000,M,5,4,Bachelors,Professional,1,2,5-10 Miles,45,0
11114,9,114.94,09/19/2003,S,50001-75000,F,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,45,0
11115,9,50.21,08/14/2003,M,50001-75000,M,5,4,Partial College,Skilled Manual,1,2,0-1 Miles,45,0
11116,9,146.41,09/16/2003,M,50001-75000,M,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,45,0
11117,9,8150,11/06/2001,M,50001-75000,F,5,4,Partial College,Skilled Manual,1,3,10+ Miles,46,1
11118,9,115.85,01/11/2004,S,75001-100000,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,50,0
11119,9,77.27,08/07/2003,S,25001-50000,M,2,0,Partial College,Clerical,0,2,0-1 Miles,72,0
11120,9,4867.5,11/14/2001,S,25001-50000,F,2,0,Bachelors,Management,1,1,5-10 Miles,71,1
11121,9,50.21,12/26/2003,M,50001-75000,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,47,0
11122,9,32.94,08/25/2003,M,50001-75000,M,5,4,Partial College,Skilled Manual,1,3,5-10 Miles,47,0
11123,9,141.89,10/19/2003,M,50001-75000,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,47,0
11124,9,8094.03,11/05/2001,S,75001-100000,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,50,1
11125,9,71.74,08/04/2003,S,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,51,0
11126,9,4970.08,11/28/2001,M,0-25000,M,2,1,High School,Skilled Manual,0,2,0-1 Miles,58,1
11127,4,39.99,10/12/2003,M,25001-50000,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,32,0
11128,1,108.95,12/21/2003,M,25001-50000,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,32,0
11129,1,3578.27,02/06/2002,S,25001-50000,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,32,1
11130,1,35,06/11/2004,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,27,0
11131,6,140.92,04/20/2004,M,25001-50000,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,27,0
11132,6,2366.95,10/11/2003,S,25001-50000,F,0,0,High School,Skilled Manual,0,2,5-10 Miles,27,1
11133,1,66.97,07/02/2004,S,25001-50000,F,0,0,Partial High School,Clerical,0,2,0-1 Miles,27,0
11134,9,1511.84,11/03/2001,S,0-25000,M,5,0,High School,Skilled Manual,1,2,5-10 Miles,61,1
11135,4,2329.98,10/20/2003,S,25001-50000,M,0,0,Partial High School,Clerical,0,2,5-10 Miles,28,1
11136,6,2316.97,07/07/2003,S,25001-50000,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,29,1
11137,1,200.28,02/01/2004,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,29,0
11138,4,43.98,03/22/2004,M,25001-50000,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,29,0
11139,9,58.98,03/17/2004,S,25001-50000,F,2,0,Partial College,Clerical,0,2,5-10 Miles,69,0
11140,4,4.99,09/20/2003,S,25001-50000,M,0,0,Partial High School,Clerical,0,2,5-10 Miles,30,0
11141,4,78.97,11/17/2003,M,25001-50000,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,30,0
11142,6,945.78,08/17/2003,S,25001-50000,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,30,0
11143,4,46.27,12/17/2003,M,25001-50000,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,30,0
11144,1,2349.98,07/29/2003,S,25001-50000,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,28,1
11145,1,2304.98,07/29/2003,S,25001-50000,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,28,1
11146,9,103.94,08/09/2003,S,25001-50000,F,2,0,Bachelors,Management,1,2,5-10 Miles,68,0
11147,9,4820.51,11/13/2001,M,50001-75000,M,2,0,Graduate Degree,Management,1,1,0-1 Miles,68,1
11148,9,91.25,09/08/2003,M,25001-50000,M,2,0,Bachelors,Management,1,2,5-10 Miles,66,0
11149,9,32.27,12/06/2003,M,25001-50000,M,2,0,Bachelors,Management,1,2,0-1 Miles,66,0
11150,9,157.43,09/28/2003,S,25001-50000,M,2,0,Bachelors,Management,1,2,5-10 Miles,66,0
11151,9,8078.32,11/15/2001,S,50001-75000,F,2,0,Graduate Degree,Management,0,1,0-1 Miles,65,1
11152,1,0,07/13/2003,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,31,1
11153,1,105.78,09/30/2003,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,31,0
11154,1,0,07/14/2003,S,25001-50000,F,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,31,1
11155,4,0,07/10/2003,S,25001-50000,M,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,31,1
11156,4,2334.98,07/12/2003,S,25001-50000,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,31,1
11157,1,6.28,01/25/2004,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,32,0
11158,4,2341.97,07/23/2003,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,32,1
11159,4,46.27,03/11/2004,S,25001-50000,F,0,0,High School,Skilled Manual,0,2,1-2 Miles,32,0
11160,4,2319.99,08/25/2003,S,25001-50000,M,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,33,1
11161,4,88.96,12/03/2003,S,25001-50000,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,33,0
11162,4,2294.99,08/22/2003,S,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,33,1
11163,4,43.98,11/02/2003,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,33,0
11164,4,142.47,10/29/2003,S,25001-50000,M,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,33,0
11165,4,67.49,11/26/2003,M,50001-75000,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,34,0
11166,1,78.97,04/16/2004,S,50001-75000,F,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,35,0
11167,1,3091.33,07/11/2003,S,75001-100000,F,0,0,Bachelors,Management,0,1,0-1 Miles,35,1
11168,4,3134.3,07/19/2003,S,75001-100000,M,0,0,Bachelors,Management,0,1,0-1 Miles,39,1
11169,4,46.27,11/27/2003,M,75001-100000,M,4,4,Bachelors,Management,1,1,0-1 Miles,39,0
11170,1,154.94,02/27/2004,M,75001-100000,F,4,4,Bachelors,Management,1,1,0-1 Miles,39,0
11171,4,6711.56,02/20/2002,S,75001-100000,M,1,0,Bachelors,Management,1,2,1-2 Miles,40,1
11172,1,93.95,11/04/2003,M,75001-100000,F,1,0,Bachelors,Management,1,2,1-2 Miles,40,0
11173,1,67.49,09/03/2003,S,greater than 100000,F,0,0,Graduate Degree,Management,0,4,0-1 Miles,40,0
11174,4,46.27,01/14/2004,M,greater than 100000,M,0,1,Graduate Degree,Management,1,0,2-5 Miles,40,0
11175,4,6688.57,02/28/2002,S,50001-75000,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,44,1
11176,6,1317.72,08/06/2003,M,75001-100000,M,4,4,Bachelors,Management,1,1,1-2 Miles,39,0
11177,4,81.26,09/30/2003,M,greater than 100000,M,2,4,Graduate Degree,Management,1,2,5-10 Miles,65,0
11178,4,109.77,08/25/2003,M,75001-100000,M,2,3,Graduate Degree,Management,1,3,1-2 Miles,64,0
11179,4,100.95,09/13/2003,M,greater than 100000,F,2,4,Graduate Degree,Management,1,3,5-10 Miles,64,0
11180,4,103.46,09/18/2003,M,greater than 100000,F,1,3,Bachelors,Management,1,4,0-1 Miles,64,0
11181,4,37.29,11/08/2003,M,greater than 100000,M,2,3,Graduate Degree,Management,1,2,0-1 Miles,64,0
11182,1,78.97,02/29/2004,S,50001-75000,F,4,0,Bachelors,Management,1,2,10+ Miles,63,0
11183,4,43.98,11/01/2003,S,50001-75000,F,4,0,Bachelors,Management,1,2,10+ Miles,63,0
11184,4,65.96,02/11/2004,S,50001-75000,F,4,0,Bachelors,Management,1,2,10+ Miles,63,0
11185,6,1562.32,08/25/2003,S,50001-75000,F,4,0,Bachelors,Management,1,2,10+ Miles,63,0
11186,4,38.99,04/20/2004,S,50001-75000,F,4,0,Bachelors,Management,1,2,10+ Miles,63,0
11187,1,43.98,10/05/2003,M,50001-75000,F,4,0,Graduate Degree,Management,1,2,10+ Miles,63,0
11188,4,78.97,05/04/2004,M,50001-75000,F,4,0,Graduate Degree,Management,0,2,1-2 Miles,63,0
11189,1,2365.95,02/26/2002,S,50001-75000,M,4,0,Graduate Degree,Management,1,2,10+ Miles,63,1
11190,4,11.27,02/29/2004,M,50001-75000,M,5,0,Bachelors,Management,1,2,10+ Miles,63,0
11191,4,3165.31,02/11/2002,S,50001-75000,F,5,0,Bachelors,Management,1,3,10+ Miles,62,1
11192,1,78.97,12/25/2003,M,50001-75000,M,4,0,Bachelors,Management,1,2,2-5 Miles,62,0
11193,1,6.28,08/29/2003,M,50001-75000,M,4,0,Bachelors,Management,1,2,2-5 Miles,62,0
11194,4,81.26,09/14/2003,M,50001-75000,F,4,0,Bachelors,Management,1,2,2-5 Miles,62,0
11195,1,103.46,10/16/2003,M,50001-75000,F,5,0,Bachelors,Management,1,3,10+ Miles,61,0
11196,1,42.28,09/04/2003,M,50001-75000,M,5,0,Bachelors,Management,1,3,10+ Miles,61,0
11197,1,48.56,11/03/2003,M,50001-75000,F,3,1,Bachelors,Management,0,1,1-2 Miles,61,0
11198,4,63.47,08/09/2003,S,50001-75000,F,4,1,Bachelors,Management,1,1,10+ Miles,61,0
11199,4,129.46,09/19/2003,M,50001-75000,F,4,1,Bachelors,Management,1,1,10+ Miles,61,0
11200,6,1458.39,08/11/2003,M,50001-75000,M,4,1,Bachelors,Management,1,1,1-2 Miles,60,0
11201,4,145.95,01/02/2004,M,50001-75000,F,4,1,Bachelors,Management,1,1,10+ Miles,60,0
11202,4,38.99,03/18/2004,M,75001-100000,F,5,0,Bachelors,Management,0,2,1-2 Miles,60,0
11203,6,799.48,08/24/2003,M,25001-50000,M,2,1,High School,Professional,1,2,10+ Miles,59,0
11204,1,42.28,02/10/2004,M,25001-50000,F,2,1,High School,Professional,1,2,2-5 Miles,59,0
11205,1,35,01/28/2004,M,25001-50000,F,2,1,High School,Professional,1,2,10+ Miles,59,0
11206,1,42.28,11/12/2003,M,50001-75000,M,2,1,Partial College,Professional,1,1,10+ Miles,59,0
11207,1,42.28,08/04/2003,S,50001-75000,F,2,1,Partial College,Professional,1,1,10+ Miles,59,0
11208,4,79.24,09/05/2003,M,50001-75000,F,2,1,Bachelors,Management,1,0,10+ Miles,59,0
11209,4,35,09/26/2003,M,50001-75000,F,2,1,Bachelors,Management,1,0,10+ Miles,59,0
11210,4,68.47,11/07/2003,M,50001-75000,M,4,1,Partial College,Professional,1,2,10+ Miles,59,0
11211,6,769.06,08/05/2003,M,25001-50000,F,2,1,High School,Professional,1,2,2-5 Miles,58,0
11212,6,802.7,08/03/2003,M,25001-50000,F,2,1,High School,Professional,1,2,2-5 Miles,58,0
11213,1,42.28,09/29/2003,S,50001-75000,F,2,1,Partial College,Professional,1,2,10+ Miles,58,0
11214,1,159.99,02/15/2004,S,50001-75000,M,2,1,Partial College,Professional,1,2,10+ Miles,58,0
11215,6,996.52,08/19/2003,M,25001-50000,F,2,1,Partial High School,Skilled Manual,1,2,10+ Miles,57,0
11216,1,2369.97,02/15/2002,S,50001-75000,F,2,1,Partial College,Professional,1,2,10+ Miles,57,1
11217,1,2374.98,02/10/2002,S,50001-75000,F,2,1,Partial College,Professional,1,2,10+ Miles,57,1
11218,1,37.29,09/01/2003,S,50001-75000,F,2,1,Partial College,Professional,0,2,2-5 Miles,57,0
11219,1,37.29,05/01/2004,M,50001-75000,M,2,1,High School,Professional,1,2,10+ Miles,57,0
11220,4,42.28,09/15/2003,M,50001-75000,F,2,1,Partial College,Professional,1,1,10+ Miles,57,0
11221,4,43.98,10/09/2003,M,50001-75000,M,4,2,Partial College,Professional,1,1,1-2 Miles,57,0
11222,4,172.97,05/04/2004,M,75001-100000,F,3,1,Bachelors,Management,1,1,1-2 Miles,57,0
11223,6,1170.39,08/02/2003,S,50001-75000,F,2,1,High School,Professional,1,2,2-5 Miles,56,0
11224,1,6650.6,02/07/2002,S,50001-75000,F,2,1,High School,Professional,1,2,10+ Miles,56,1
11225,1,70.96,12/24/2003,M,50001-75000,F,2,1,Partial College,Professional,1,1,10+ Miles,56,0
11226,1,35,08/25/2003,M,50001-75000,F,2,1,Partial College,Professional,1,1,2-5 Miles,56,0
11227,4,5900.23,02/03/2002,S,50001-75000,M,2,1,Partial College,Professional,1,2,10+ Miles,56,1
11228,4,74.98,04/27/2004,M,50001-75000,F,2,1,Partial College,Professional,1,2,10+ Miles,56,0
11229,4,78.97,01/28/2004,S,50001-75000,M,4,2,Partial College,Professional,1,1,10+ Miles,56,0
11230,4,46.27,01/17/2004,M,50001-75000,F,4,2,Partial College,Professional,0,2,2-5 Miles,56,0
11231,1,61.97,08/14/2003,M,50001-75000,M,2,1,High School,Professional,1,2,10+ Miles,55,0
11232,1,37.29,03/23/2004,M,50001-75000,F,3,1,High School,Professional,0,2,2-5 Miles,55,0
11233,4,154.94,08/12/2003,M,50001-75000,M,4,2,Partial College,Professional,1,2,10+ Miles,55,0
11234,4,73.98,08/12/2003,S,50001-75000,F,4,2,Partial College,Professional,1,2,10+ Miles,55,0
11235,1,113.96,01/05/2004,M,50001-75000,M,4,2,Partial College,Professional,1,2,10+ Miles,55,0
11236,1,78.97,04/05/2004,S,50001-75000,M,5,2,Partial College,Professional,1,2,10+ Miles,55,0
11237,8,10557.39,03/08/2002,S,greater than 100000,M,2,3,Bachelors,Management,0,4,0-1 Miles,49,1
11238,10,7507.78,07/09/2001,S,greater than 100000,F,2,3,Bachelors,Management,0,4,0-1 Miles,49,1
11239,10,4136.56,07/22/2001,M,greater than 100000,F,2,4,Partial College,Professional,0,2,5-10 Miles,49,1
11240,10,7577.24,08/30/2001,M,greater than 100000,F,2,3,Partial College,Professional,1,4,5-10 Miles,49,1
11241,7,11434.2,03/14/2003,S,75001-100000,F,2,3,Partial College,Professional,1,4,5-10 Miles,50,1
